NAME;LON;LAT;F_MHZ;CHANNEL;H_TRAN;POLARIZ;ERP_0;ERP_10;ERP_20;ERP_30;ERP_40;ERP_50;ERP_60;ERP_70;ERP_80;ERP_90;ERP_100;ERP_110;ERP_120;ERP_130;ERP_140;ERP_150;ERP_160;ERP_170;ERP_180;ERP_190;ERP_200;ERP_210;ERP_220;ERP_230;ERP_240;ERP_250;ERP_260;ERP_270;ERP_280;ERP_290;ERP_300;ERP_310;ERP_320;ERP_330;ERP_340;ERP_350
Alytus;24,005833;54,396944;682;47;96;H;28,9;28,6;27,9;26,6;25,9;25,9;26,6;27,4;28,6;28,9;28,6;27,9;26,6;25,9;25,9;26,6;27,4;28,6;28,9;28,6;27,9;26,6;25,9;25,9;26,6;27,4;28,6;28,9;28,6;27,9;26,6;25,9;25,9;26,6;27,4;28,6
Alytus;24,005833;54,396944;778;59;96;H;31,7;31,7;31,5;30,7;29,7;29,7;30,7;31,5;31,7;31,7;31,7;31,5;30,7;29,7;29,7;30,7;31,5;31,7;31,7;31,7;31,5;30,7;29,7;29,7;30,7;31,5;31,7;31,7;31,7;31,5;30,7;29,7;29,7;30,7;31,5;31,7
Alytus;24,005833;54,396944;810;63;96;H;28,8;28,5;27,8;26,5;25,8;25,8;26,5;27,3;28,5;28,8;28,5;27,8;26,5;25,8;25,8;26,5;27,3;28,5;28,8;28,5;27,8;26,5;25,8;25,8;26,5;27,3;28,5;28,8;28,5;27,8;26,5;25,8;25,8;26,5;27,3;28,5
Biržai;24,716667;56,216667;474;21;105;H;30,0;30,0;29,8;29,0;28,0;28,0;29,0;29,8;30,0;30,0;30,0;29,8;29,0;28,0;28,0;29,0;29,8;30,0;30,0;30,0;29,8;29,0;28,0;28,0;29,0;29,8;30,0;30,0;30,0;29,8;29,0;28,0;28,0;29,0;29,8;30,0
Biržai;24,716667;56,216667;594;36;105;H;31,5;31,5;31,3;30,5;29,5;29,5;30,5;31,3;31,5;31,5;31,5;31,3;30,5;29,5;29,5;30,5;31,3;31,5;31,5;31,5;31,3;30,5;29,5;29,5;30,5;31,3;31,5;31,5;31,5;31,3;30,5;29,5;29,5;30,5;31,3;31,5
Biržai;24,727500;56,217222;738;54;105;H;31,7;31,6;31,5;31,2;30,7;30,7;31,2;31,5;31,6;31,7;31,6;31,5;31,2;30,7;30,7;31,2;31,5;31,6;31,7;31,6;31,5;31,2;30,7;30,7;31,2;31,5;31,6;31,7;31,6;31,5;31,2;30,7;30,7;31,2;31,5;31,6
Biržai;24,727500;56,217222;794;61;105;H;31,9;31,8;31,6;31,4;30,9;30,9;31,4;31,7;31,8;31,9;31,8;31,6;31,4;30,9;30,9;31,4;31,6;31,8;31,9;31,8;31,6;31,4;30,9;30,9;31,4;31,6;31,8;31,9;31,8;31,6;31,4;30,9;30,9;31,4;31,6;31,8
Druskininkai;23,991111;53,997222;682;47;115;H;33,6;32,7;31,1;29,8;31,6;33,2;32,2;30,8;32,8;33,2;32,7;30,7;31,3;31,2;29,4;29,1;30,5;29,3;30,6;29,3;30,5;29,1;29,4;31,2;31,3;30,7;32,7;33,2;32,8;30,8;32,2;33,2;31,6;29,8;31,1;32,7
Druskininkai;23,993056;53,997222;778;59;115;H;33,0;32,8;29,7;28,5;31,3;33,0;30,5;30,3;33,2;33,0;31,5;30,5;27,0;31,0;28,0;25,0;29,0;29,5;30,0;28,5;28,0;26,0;27,0;31,0;27,0;31,0;32,0;33,0;33,2;31,0;30,7;33,0;31,0;27,5;28,5;31,7
Druskininkai;23,991111;53,997222;810;63;115;H;29,4;28,6;28,2;27,4;27,2;29,7;28,4;28,4;29,5;30,4;28,9;28,1;27,3;25,9;25,4;25,4;25,9;28,6;28,4;28,6;25,9;25,4;25,4;25,9;27,3;28,1;28,9;29,5;29,6;28,9;28,4;29,7;27,2;27,4;28,2;28,6
Giruliai;21,096944;55,768333;666;45;198;H;26,7;26,7;28,4;29,1;28,9;27,7;27,3;28,5;28,5;26,7;27,3;29,1;29,8;28,9;27,9;26,7;25,4;21,8;15,8;13,3;9,8;3,8;3,8;5,4;13,3;20,7;25,1;26,7;27,9;28,8;29,3;29,1;27,9;27,1;28,5;28,5
Ignalina;26,175556;55,337778;514;26;68;H;28,7;28,2;27,7;26,2;25,7;25,7;26,2;27,7;28,2;28,7;28,2;27,7;26,2;25,7;25,7;26,2;27,7;28,2;28,7;28,2;27,7;26,2;25,7;25,7;26,2;27,7;28,2;28,7;28,2;27,7;26,2;25,7;25,7;26,2;27,7;28,2
